conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biolääketieteen insinööri,released,,"Biolääketieteen insinöörit yhdistävät teknisen osaamisen ja biologiset löydökset lääketieteellisten hoitojen ja lääkkeiden sekä yleisen terveydenhuollon kehittämiseen. He voivat kehittää ratkaisuja, jotka vaihtelevat tavanomaisten lääkkeiden komponenttien parantamisesta implanttien kehittämiseen ja kudosten käsittelyyn.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,biotekniikan insinööri
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,kriminologi,released,kriminologian tutkija,"Kriminologit tutkivat inhimillisiä olosuhteita, kuten sosiaalisia ja psykologisia tekijöitä, jotka voivat johtaa rikoksen tekemiseen. He tarkastelevat ja analysoivat erilaisia tekijöitä, kuten epäiltyjen käyttäytymistä, sosiaalista taustaa ja ympäristöä, ja neuvovat organisaatioita rikollisuuden ehkäisemisessä.",http://data.europa.eu/esco/isco/C2632,Yhteiskunta- ja kulttuuritutkijat
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,taloustieteen lehtori,released,taloustieteen professori | taloustieteen opettaja,"Taloustieteen lehtorit ovat professoreja, apulaisprofessoreja, opettajia, lehtoreita, tuntiopettajia tai mentoreita, jotka opettavat opiskelijoita omalla erikoisalallaan eli taloustieteessä. He kehittävät opetussuunnitelmia, valmistelevat kursseja (luentoja, käytännön oppitunteja, seminaareja, koulutusta jne.), valvovat oppimistuloksia ja antavat opinto-ohjausta. He tekevät akateemista tutkimusta taloustieteen alalla ja esittelevät havaintojaan konferensseissa ja julkaisuissa. He osallistuvat myös joihinkin yliopistojen hallintotehtäviin.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,lääketieteen lehtori,released,lääketieteen opettaja | lääketieteen tohtori,"Lääketieteen lehtorit ovat professoreita, opettajia tai lehtoreita, ja usein opetusta antavat myös lääkärit, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omassa erikoisalallaan eli lääketieteessä, joka on pääasiassa teoreettista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa, laboratorioharjoitusten ohjaamisessa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla lääketieteen alallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,lääkinnällisten laitteiden suunnittelija,released,"insinööri, lääkinnällisten laitteiden tekninen suunnittelu","Lääkinnällisten laitteiden suunnittelijat suunnittelevat ja kehittävät lääketieteellis-teknisiä järjestelmiä, laitteistoja sekä sydämentahdistimien, magneettikuvauslaitteiden ja röntgenlaitteiden kaltaisia laitteita. He seuraavat koko valmistusprosessia konseptin suunnittelusta tuotteen toteuttamiseen. Tähän sisältyviä toimia ovat muun muassa tuoteparannusten suunnittelu, menetelmien ja tekniikoiden kehittäminen suunnittelun asianmukaisuuden arvioimiseksi, tuotannon alkuvaiheen koordinointi, testausmenetelmien kehittäminen ja tuotantokaavioiden laatiminen.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektroniikkainsinööri
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historioitsija,released,historiantutkija,"Historioitsijat tutkivat, analysoivat, tulkitsevat ja esittelevät ihmisten yhteiskuntien menneisyyttä. He analysoivat vanhoja asiakirjoja, lähteitä ja jäänteitä ymmärtääkseen aiempia yhteiskuntia.",http://data.europa.eu/esco/isco/C2633,"Historioitsijat, politiikan tutkijat ja filosofit"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kemisti,released,analyyttinen kemisti | analyysikemisti | ympäristökemisti,"Kemistit tekevät laboratoriotutkimuksia, joissa testataan ja analysoidaan aineiden kemiallista rakennetta. He muuntavat tutkimustulokset teollisiksi tuotantoprosesseiksi, joita hyödynnetään sen jälkeen tuotteiden kehittämisessä tai parantamisessa. Kemistit testaavat myös valmistettujen tuotteiden laatua ja niiden ympäristövaikutuksia.",http://data.europa.eu/esco/isco/C2113,Kemistit
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmakologi,released,,"Farmakologit tutkivat sitä, miten lääkkeet ja lääkeaineet ovat vuorovaikutuksessa elävien organismien, eloperäisten järjestelmien ja niiden osien (eli solujen, kudosten tai elinten) kanssa. Heidän tutkimuksensa tavoitteena on yksilöidä aineet, joita ihmiset voivat nauttia ja joiden biokemiallisilla vaikutuksilla voidaan parantaa sairauksia.",http://data.europa.eu/esco/isco/C2131,"Biologit, kasvi- ja eläintieteilijät ym. erityisasiantuntijat"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,sosiologian lehtori,released,sosiologian tohtori | sosiologian opettaja,"Sosiologian lehtorit ovat professoreja, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli sosiologiassa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla sosiologian erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesiologi,released,,"Kinesiologit opiskelevat ja tutkivat kehon sekä sen lihasten ja osien liikettä. He analysoivat ja käyttävät tieteellistä tietoa ja menetelmiä pyrkiessään parantamaan (yleensä ihmisten) kehon liikkuvuutta. Heillä on perinpohjainen tietämys esimerkiksi fysiologiasta, kinetiikasta, neurologiasta ja biologiasta. He ottavat huomioon, että tietyt tekijät, kuten kehon kunto, vaikuttavat liikkeeseen, ja kehittävät ratkaisuja yleisen mekaniikan ja liikkuvuuden parantamiseksi.",http://data.europa.eu/esco/isco/C2269,Muut terveydenhuollon erityisasiantuntijat
